
   Id ProcessName                              Path                                                 
   -- -----------                              ----                                                 
 2688 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
 5320 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
 7044 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
 9060 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
 9852 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
12824 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
19624 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
19840 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
19992 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
21868 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
22380 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
22676 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
23992 Code                                     C:\Users\salaa\AppData\Local\Programs\Microsoft VS...
 5976 LenovoVantage-(LenovoServiceBridgeAddin) C:\Program Files (x86)\Lenovo\VantageService\5.1.2...
20812 node                                     C:\Program Files\Adobe\Adobe Creative Cloud Experi...
20492 ollama                                   C:\Users\salaa\AppData\Local\Programs\Ollama\ollam...
 5372 ollama app                               C:\Users\salaa\AppData\Local\Programs\Ollama\ollam...


