===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                    Version     
----                                            ----------- ------                                    -------     
A:                                                 Function                                                       
Add-AppPackage                                        Alias Appx                                      2.0.1.0     
Add-AppPackageVolume                                  Alias Appx                                      2.0.1.0     
Add-AppProvisionedPackage                             Alias Dism                                      3.0         
Add-AppProvisionedSharedPackageContainer             Cmdlet Dism                                      3.0         
Add-AppSharedPackageContainer                        Cmdlet Appx                                      2.0.1.0     
Add-AppvClientConnectionGroup                        Cmdlet AppvClient                                1.0.0.0     
Add-AppvClientPackage                                Cmdlet AppvClient                                1.0.0.0     
Add-AppvPublishingServer                             Cmdlet AppvClient                                1.0.0.0     
Add-AppxPackage                                      Cmdlet Appx                                      2.0.1.0     
Add-AppxProvisionedPackage                           Cmdlet Dism                                      3.0         
Add-AppxVolume                                       Cmdlet Appx                                      2.0.1.0     
Add-BCDataCacheExtension                           Function BranchCache                               1.0.0.0     
Add-BitLockerKeyProtector                          Function BitLocker                                 1.0.0.0     
Add-BitsFile                                         Cmdlet BitsTransfer                              2.0.0.0     
Add-CertificateEnrollmentPolicyServer                Cmdlet PKI                                       1.0.0.0     
Add-Computer                                         Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Add-Content                                          Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
Add-DnsClientDohServerAddress                      Function DnsClient                                 1.0.0.0     
Add-DnsClientNrptRule                              Function DnsClient                                 1.0.0.0     
Add-DtcClusterTMMapping                            Function MsDtc                                     1.0.0.0     
Add-EtwTraceProvider                               Function EventTracingManagement                    1.0.0.0     
Add-History                                          Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Add-InitiatorIdToMaskingSet                        Function Storage                                   2.0.0.0     
Add-JobTrigger                                       Cmdlet PSScheduledJob                            1.1.0.0     
Add-KdsRootKey                                       Cmdlet Kds                                       1.0.0.0     
Add-LocalGroupMember                                 Cmdlet Microsoft.PowerShell.LocalAccounts        1.0.0.0     
Add-Member                                           Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Add-MpPreference                                   Function Defender                                  1.0         
Add-MpPreference                                   Function ConfigDefender                            1.0         
Add-MsixPackage                                       Alias Appx                                      2.0.1.0     
Add-MsixPackageVolume                                 Alias Appx                                      2.0.1.0     
Add-MsixVolume                                        Alias Appx                                      2.0.1.0     
Add-NetEventNetworkAdapter                         Function NetEventPacketCapture                     1.0.0.0     
Add-NetEventPacketCaptureProvider                  Function NetEventPacketCapture                     1.0.0.0     
Add-NetEventProvider                               Function NetEventPacketCapture                     1.0.0.0     
Add-NetEventVFPProvider                            Function NetEventPacketCapture                     1.0.0.0     
Add-NetEventVmNetworkAdapter                       Function NetEventPacketCapture                     1.0.0.0     
Add-NetEventVmSwitch                               Function NetEventPacketCapture                     1.0.0.0     
Add-NetEventVmSwitchProvider                       Function NetEventPacketCapture                     1.0.0.0     
Add-NetEventWFPCaptureProvider                     Function NetEventPacketCapture                     1.0.0.0     
Add-NetIPHttpsCertBinding                          Function NetworkTransition                         1.0.0.0     
Add-NetLbfoTeamMember                              Function NetLbfo                                   2.0.0.0     
Add-NetLbfoTeamNic                                 Function NetLbfo                                   2.0.0.0     
Add-NetNatExternalAddress                          Function NetNat                                    1.0.0.0     
Add-NetNatStaticMapping                            Function NetNat                                    1.0.0.0     
Add-NetSwitchTeamMember                            Function NetSwitchTeam                             1.0.0.0     
Add-OdbcDsn                                        Function Wdac                                      1.0.0.0     
Add-PartitionAccessPath                            Function Storage                                   2.0.0.0     
Add-PhysicalDisk                                   Function Storage                                   2.0.0.0     
Add-Printer                                        Function PrintManagement                           1.1         
Add-PrinterDriver                                  Function PrintManagement                           1.1         
Add-PrinterPort                                    Function PrintManagement                           1.1         
Add-ProvisionedAppPackage                             Alias Dism                                      3.0         
Add-ProvisionedAppSharedPackageContainer              Alias Dism                                      3.0         
Add-ProvisionedAppxPackage                            Alias Dism                                      3.0         
Add-ProvisioningPackage                               Alias Provisioning                              3.0         
Add-PSSnapin                                         Cmdlet Microsoft.PowerShell.Core                 3.0.0.0     
Add-SignerRule                                       Cmdlet ConfigCI                                  1.0         
Add-StorageFaultDomain                             Function Storage                                   2.0.0.0     
Add-TargetPortToMaskingSet                         Function Storage                                   2.0.0.0     
Add-TrustedProvisioningCertificate                    Alias Provisioning                              3.0         
Add-Type                                             Cmdlet Microsoft.PowerShell.Utility              3.1.0.0     
Add-VirtualDiskToMaskingSet                        Function Storage                                   2.0.0.0     
Add-VMDirectVirtualDisk                            Function VMDirectStorage                           1.0.0.0     
Add-VpnConnection                                  Function VpnClient                                 2.0.0.0     
Add-VpnConnectionRoute                             Function VpnClient                                 2.0.0.0     
Add-VpnConnectionTriggerApplication                Function VpnClient                                 2.0.0.0     
Add-VpnConnectionTriggerDnsConfiguration           Function VpnClient                                 2.0.0.0     
Add-VpnConnectionTriggerTrustedNetwork             Function VpnClient                                 2.0.0.0     
Add-WindowsCapability                                Cmdlet Dism                                      3.0         
Add-WindowsDriver                                    Cmdlet Dism                                      3.0         
Add-WindowsImage                                     Cmdlet Dism                                      3.0         
Add-WindowsPackage                                   Cmdlet Dism                                      3.0         
Add-WUServiceManager                                 Cmdlet PSWindowsUpdate                           2.2.1.5     
AfterAll                                           Function Pester                                    3.4.0       
AfterEach                                          Function Pester                                    3.4.0       
Apply-WindowsUnattend                                 Alias Dism                                      3.0         
Assert-MockCalled                                  Function Pester                                    3.4.0       
Assert-VerifiableMocks                             Function Pester                                    3.4.0       
B:                                                 Function                                                       
Backup-BitLockerKeyProtector                       Function BitLocker                                 1.0.0.0     
BackupToAAD-BitLockerKeyProtector                  Function BitLocker                                 1.0.0.0     
BackupToMSA-BitLockerKeyProtector                  Function BitLocker                                 1.0.0.0     
BeforeAll                                          Function Pester                                    3.4.0       
BeforeEach                                         Function Pester                                    3.4.0       
Block-FileShareAccess                              Function Storage                                   2.0.0.0     
Block-SmbClientAccessToServer                      Function SmbShare                                  2.0.0.0     
Block-SmbShareAccess                               Function SmbShare                                  2.0.0.0     
C:                                                 Function                                                       
cd..                                               Function                                                       
cd\                                                Function                                                       
Checkpoint-Computer                                  Cmdlet Microsoft.PowerShell.Management           3.1.0.0     
