===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                  
----                                            ----------- ------                                  
A:                                                 Function                                         
Add-AppPackage                                        Alias Appx                                    
Add-AppPackageVolume                                  Alias Appx                                    
Add-AppProvisionedPackage                             Alias Dism                                    
Add-AppProvisionedSharedPackageContainer             Cmdlet Dism                                    
Add-AppSharedPackageContainer                        Cmdlet Appx                                    
Add-AppvClientConnectionGroup                        Cmdlet AppvClient                              
Add-AppvClientPackage                                Cmdlet AppvClient                              
Add-AppvPublishingServer                             Cmdlet AppvClient                              
Add-AppxPackage                                      Cmdlet Appx                                    
Add-AppxProvisionedPackage                           Cmdlet Dism                                    
Add-AppxVolume                                       Cmdlet Appx                                    
Add-BCDataCacheExtension                           Function BranchCache                             
Add-BitLockerKeyProtector                          Function BitLocker                               
Add-BitsFile                                         Cmdlet BitsTransfer                            
Add-CertificateEnrollmentPolicyServer                Cmdlet PKI                                     
Add-Computer                                         Cmdlet Microsoft.PowerShell.Management         
Add-Content                                          Cmdlet Microsoft.PowerShell.Management         
Add-DnsClientDohServerAddress                      Function DnsClient                               
Add-DnsClientNrptRule                              Function DnsClient                               
Add-DtcClusterTMMapping                            Function MsDtc                                   
Add-EtwTraceProvider                               Function EventTracingManagement                  
Add-History                                          Cmdlet Microsoft.PowerShell.Core               
Add-InitiatorIdToMaskingSet                        Function Storage                                 
Add-JobTrigger                                       Cmdlet PSScheduledJob                          
Add-KdsRootKey                                       Cmdlet Kds                                     
Add-LocalGroupMember                                 Cmdlet Microsoft.PowerShell.LocalAccounts      
Add-Member                                           Cmdlet Microsoft.PowerShell.Utility            
Add-MpPreference                                   Function Defender                                
Add-MpPreference                                   Function ConfigDefender                          
Add-MsixPackage                                       Alias Appx                                    
Add-MsixPackageVolume                                 Alias Appx                                    
Add-MsixVolume                                        Alias Appx                                    
Add-NetEventNetworkAdapter                         Function NetEventPacketCapture                   
Add-NetEventPacketCaptureProvider                  Function NetEventPacketCapture                   
Add-NetEventProvider                               Function NetEventPacketCapture                   
Add-NetEventVFPProvider                            Function NetEventPacketCapture                   
Add-NetEventVmNetworkAdapter                       Function NetEventPacketCapture                   
Add-NetEventVmSwitch                               Function NetEventPacketCapture                   
Add-NetEventVmSwitchProvider                       Function NetEventPacketCapture                   
Add-NetEventWFPCaptureProvider                     Function NetEventPacketCapture                   
Add-NetIPHttpsCertBinding                          Function NetworkTransition                       
Add-NetLbfoTeamMember                              Function NetLbfo                                 
Add-NetLbfoTeamNic                                 Function NetLbfo                                 
Add-NetNatExternalAddress                          Function NetNat                                  
Add-NetNatStaticMapping                            Function NetNat                                  
Add-NetSwitchTeamMember                            Function NetSwitchTeam                           
Add-OdbcDsn                                        Function Wdac                                    
Add-PartitionAccessPath                            Function Storage                                 
Add-PhysicalDisk                                   Function Storage                                 
Add-Printer                                        Function PrintManagement                         
Add-PrinterDriver                                  Function PrintManagement                         
Add-PrinterPort                                    Function PrintManagement                         
Add-ProvisionedAppPackage                             Alias Dism                                    
Add-ProvisionedAppSharedPackageContainer              Alias Dism                                    
Add-ProvisionedAppxPackage                            Alias Dism                                    
Add-ProvisioningPackage                               Alias Provisioning                            
Add-PSSnapin                                         Cmdlet Microsoft.PowerShell.Core               
Add-SignerRule                                       Cmdlet ConfigCI                                
Add-StorageFaultDomain                             Function Storage                                 
Add-TargetPortToMaskingSet                         Function Storage                                 
Add-TrustedProvisioningCertificate                    Alias Provisioning                            
Add-Type                                             Cmdlet Microsoft.PowerShell.Utility            
Add-VirtualDiskToMaskingSet                        Function Storage                                 
Add-VMDirectVirtualDisk                            Function VMDirectStorage                         
Add-VpnConnection                                  Function VpnClient                               
Add-VpnConnectionRoute                             Function VpnClient                               
Add-VpnConnectionTriggerApplication                Function VpnClient                               
Add-VpnConnectionTriggerDnsConfiguration           Function VpnClient                               
Add-VpnConnectionTriggerTrustedNetwork             Function VpnClient                               
Add-WindowsCapability                                Cmdlet Dism                                    
Add-WindowsDriver                                    Cmdlet Dism                                    
Add-WindowsImage                                     Cmdlet Dism                                    
Add-WindowsPackage                                   Cmdlet Dism                                    
Add-WUServiceManager                                 Cmdlet PSWindowsUpdate                         
AfterAll                                           Function Pester                                  
AfterEach                                          Function Pester                                  
Apply-WindowsUnattend                                 Alias Dism                                    
Assert-MockCalled                                  Function Pester                                  
Assert-VerifiableMocks                             Function Pester                                  
B:                                                 Function                                         
Backup-BitLockerKeyProtector                       Function BitLocker                               
BackupToAAD-BitLockerKeyProtector                  Function BitLocker                               
BackupToMSA-BitLockerKeyProtector                  Function BitLocker                               
BeforeAll                                          Function Pester                                  
BeforeEach                                         Function Pester                                  
Block-FileShareAccess                              Function Storage                                 
Block-SmbClientAccessToServer                      Function SmbShare                                
Block-SmbShareAccess                               Function SmbShare                                
C:                                                 Function                                         
cd..                                               Function                                         
cd\                                                Function                                         
Checkpoint-Computer                                  Cmdlet Microsoft.PowerShell.Management         
Clear-AssignedAccess                               Function AssignedAccess                          
Clear-BCCache                                      Function BranchCache                             
Clear-BitLockerAutoUnlock                          Function BitLocker                               
Clear-Content                                        Cmdlet Microsoft.PowerShell.Management         
Clear-Disk                                         Function Storage                                 
Clear-DnsClientCache                               Function DnsClient                               
Clear-EventLog                                       Cmdlet Microsoft.PowerShell.Management         
Clear-FileStorageTier                              Function Storage                                 
Clear-History                                        Cmdlet Microsoft.PowerShell.Core               
Clear-Host                                         Function                                         
Clear-Item                                           Cmdlet Microsoft.PowerShell.Management         
Clear-ItemProperty                                   Cmdlet Microsoft.PowerShell.Management         
Clear-KdsCache                                       Cmdlet Kds                                     
Clear-PcsvDeviceLog                                Function PcsvDevice                              
Clear-RecycleBin                                     Cmdlet Microsoft.PowerShell.Management         
Clear-ReFSDedupSchedule                              Cmdlet Microsoft.ReFsDedup.Commands            
Clear-ReFSDedupScrubSchedule                         Cmdlet Microsoft.ReFsDedup.Commands            
Clear-StorageBusDisk                               Function StorageBusCache                         
Clear-StorageDiagnosticInfo                        Function Storage                                 
Clear-Tpm                                            Cmdlet TrustedPlatformModule                   
Clear-UevAppxPackage                                 Cmdlet UEV                                     
Clear-UevConfiguration                               Cmdlet UEV                                     
Clear-Variable                                       Cmdlet Microsoft.PowerShell.Utility            
