===== 08_APLICATIVOS_INSTALADOS =====

DisplayName                                                             DisplayVersion     Publisher
-----------                                                             --------------     ---------
${{arpDisplayName}}                                                     13.2               NVIDIA...
Adobe After Effects 2026                                                26.2.1             Adobe ...
Adobe Genuine Service                                                   9.1.0.52           Adobe ...
Adobe Photoshop 2021                                                    22.5.1.441         Adobe ...
Adobe Photoshop 2026                                                    27.0.0.25          Adobe ...
AnyDesk                                                                 ad 9.7.10          AnyDes...
Application Verifier x64 External Package (DesktopEditions)             10.1.26100.8249    Microsoft
Application Verifier x64 External Package (OnecoreUAP)                  10.1.26100.8249    Microsoft
AURA QUANT-X Console 12.7.0                                             12.7.0             AURA Q...
BETO                                                                    1.0                Google...
CapCut                                                                  9.2.0.3931         Byteda...
CapCut Web                                                              1.0                Google...
CCleaner 7                                                              7.10.1464.1889     Piriform 
Comet                                                                   151.0.7922.249     Os Aut...
Compute Sanitizer                                                       13.2               NVIDIA...
Copilot                                                                 152.0.4191.64      Micros...
Corel Graphics - Windows Shell Extension                                25.0.0.230         Corel ...
Corel Graphics - Windows Shell Extension                                25.0.230           Corel ...
Corel Graphics - Windows Shell Extension 32 Bit Keys                    25.0.230           Corel ...
Corel Update Manager                                                    2.17.697           Corel ...
CorelDRAW Graphics Suite 2024                                           25.2.1             Corel ...
CorelDRAW Graphics Suite 2024                                           25.2.1.313         Corel ...
CorelDRAW Graphics Suite 2024 - BR (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - Capture (x64)                           25.2.1             Corel ...
CorelDRAW Graphics Suite 2024 - Common (x64)                            25.2.1             Corel ...
CorelDRAW Graphics Suite 2024 - CS (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - CT (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - Custom Data (x64)                       25.0               Corel ...
CorelDRAW Graphics Suite 2024 - CZ (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - DE (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - Discovery (x64)                         25.0               Corel ...
CorelDRAW Graphics Suite 2024 - Docs (x64)                              25.0               Corel ...
CorelDRAW Graphics Suite 2024 - Draw (x64)                              25.2.1             Corel ...
CorelDRAW Graphics Suite 2024 - EN (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - ES (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - Filters (x64)                           25.2.1             Corel ...
CorelDRAW Graphics Suite 2024 - Font Manager (x64)                      25.2.1             Corel ...
CorelDRAW Graphics Suite 2024 - FR (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - IPM (x64)                               25.2.1             Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content BR (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content CS (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content CT (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content CZ (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content DE (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content EN (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content ES (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content FR (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content IT (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content JP (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content NL (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content PL (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content RU (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content SV (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IPM Content TR (x64)                    25.0               Corel ...
CorelDRAW Graphics Suite 2024 - IT (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - JP (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - Models (x64)                            25.0               Corel ...
CorelDRAW Graphics Suite 2024 - NL (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - PHOTO-PAINT (x64)                       25.2.1             Corel ...
CorelDRAW Graphics Suite 2024 - PL (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - RU (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - Setup Files (x64)                       25.2               Corel ...
CorelDRAW Graphics Suite 2024 - SV (x64)                                25.2               Corel ...
CorelDRAW Graphics Suite 2024 - VBA (x64)                               25.2.1             Corel ...
CorelDRAW Graphics Suite 2024 - Workspaces (x64)                        25.2.1             Corel ...
CorelDRAW Graphics Suite 2024 - Writing Tools (x64)                     25.2.1              Corel...
CorelDRAW Graphics Suite 2024 -TR (x64)                                 25.2               Corel ...
CRT Development                                                         13.2               NVIDIA...
ctadvisor                                                               13.2               NVIDIA...
CUBLAS Development                                                      13.2               NVIDIA...
CUBLAS Runtime                                                          13.2               NVIDIA...
CUDA CCCL                                                               13.2               NVIDIA...
CUDA Documentation                                                      13.2               NVIDIA...
CUDA Profiler API                                                       13.2               NVIDIA...
CUDART Runtime                                                          13.2               NVIDIA...
CUDART TileIR                                                           13.2               NVIDIA...
CUFFT Development                                                       13.2               NVIDIA...
cuobjdump                                                               13.2               NVIDIA...
CUPTI                                                                   13.2               NVIDIA...
CURAND Development                                                      13.2               NVIDIA...
CURAND Runtime                                                          13.2               NVIDIA...
CUSOLVER Development                                                    13.2               NVIDIA...
CUSOLVER Runtime                                                        13.2               NVIDIA...
CUSPARSE Development                                                    13.2               NVIDIA...
CUSPARSE Runtime                                                        13.2               NVIDIA...
cuxxfilt                                                                13.2               NVIDIA...
Disassembler                                                            13.2               NVIDIA...
Docker Desktop                                                          4.89.0             Docker...
Ferramentas de Build do Visual Studio 2026                              18.8.2             Micros...
FxSound                                                                 1.2.10.0           FxSoun...
Ghostscript GPL 10.03.1 (Msi Setup)                                     10.03.1            Corel ...
Ghostscript GPL 10.03.1 (Msi Setup)                                     10.03.1            Corel ...
Git                                                                     2.55.0.5           The Gi...
GitHub Desktop                                                          3.6.4              GitHub...
Google AI for Developers                                                1.0                Google...
Google Chrome                                                           152.0.7977.76      Google...
Grok                                                                    1.0                Google...
Grok                                                                    1.0                Google...
Inno Setup 7.0.2                                                        7.0.2              jrsoft...
Inno Setup versão 6.7.3                                                 6.7.3              jrsoft...
Kits Configuration Installer                                            10.1.26100.8249    Microsoft
K-Meleon 75.0 (x86 en-US)                                               75.0               kmeleo...
Lenovo Now                                                              4.8.0.54           Lenovo   
Lenovo Service Bridge                                                   5.0.2.21           Lenovo   
Lenovo Utility                                                          3.0.0.22           Lenovo   
Lenovo Vantage Service                                                  5.1.2608.14        Lenovo...
libnvptxcompiler Development                                            13.2               NVIDIA...
LM Studio 0.4.23+1                                                      0.4.23+1           LM Studio
Maxon Cinema 4D 2026                                                    2026.1.0           Maxon    
Meta AI                                                                 1.0                Google...
Meu Sistema Comercial 1.0                                               1.0                         
Microsoft .NET 10.0 Templates 10.0.400 x64                              40.11.17119        Micros...
Microsoft .NET 8.0 Templates 8.0.424 (x64)                              32.15.49180        Micros...
Microsoft .NET AppHost Pack - 10.0.11 (x64)                             80.44.56884        Micros...
Microsoft .NET AppHost Pack - 8.0.30 (x64)                              64.120.56788       Micros...
Microsoft .NET AppHost Pack - 8.0.30 (x64_arm64)                        64.120.56788       Micros...
Microsoft .NET AppHost Pack - 8.0.30 (x64_x86)                          64.120.56788       Micros...
Microsoft .NET Host - 10.0.11 (x64)                                     80.44.56884        Micros...
Microsoft .NET Host - 8.0.30 (x64)                                      64.120.56788       Micros...
Microsoft .NET Host FX Resolver - 10.0.11 (x64)                         80.44.56884        Micros...
Microsoft .NET Host FX Resolver - 8.0.30 (x64)                          64.120.56788       Micros...
Microsoft .NET Runtime - 10.0.11 (x64)                                  80.44.56884        Micros...
Microsoft .NET Runtime - 8.0.23 (x64)                                   64.92.45415        Micros...
Microsoft .NET Runtime - 8.0.30 (x64)                                   64.120.56788       Micros...
Microsoft .NET SDK 10.0.400 (x64)                                       10.4.26.38015      Micros...
Microsoft .NET SDK 8.0.424 (x64)                                        8.4.2426.37308     Micros...
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                    24.0.28113         Micros...
Microsoft .NET Targeting Pack - 10.0.11 (x64)                           80.44.56884        Micros...
Microsoft .NET Targeting Pack - 8.0.30 (x64)                            64.120.56788       Micros...
Microsoft .NET Toolset 10.0.400 (x64)                                   40.11.17119        Micros...
Microsoft .NET Toolset 8.0.424 (x64)                                    32.15.16412        Micros...
Microsoft ASP.NET Core 8.0.30 Shared Framework (x64)                    8.0.30.26373       Micros...
Microsoft ASP.NET Core 8.0.30 Targeting Pack (x64)                      8.0.30.26373       Micros...
Microsoft ASP.NET Core Runtime - 10.0.11 (x64)                          80.44.56884        Micros...
Microsoft ASP.NET Core Targeting Pack - 10.0.11 (x64)                   80.44.56884        Micros...
Microsoft Build of OpenJDK  17.0.20.1+1 (x64)                           17.0.20.101        Microsoft
Microsoft Edge                                                          152.0.4191.62      Micros...
Microsoft Edge WebView2 Runtime                                         152.0.4191.62      Micros...
Microsoft OneDrive                                                      26.150.0804.0011   Micros...
Microsoft Visual Basic for Applications 7.1 (x64)                       7.1.00.00          Micros...
Microsoft Visual Basic for Applications 7.1 (x64) English               7.1.0.0            Micros...
Microsoft Visual Basic for Applications 7.1 (x64) Portuguese (Brazil)   7.1.0.0            Micros...
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148          9.0.30729.4148     Micros...
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161          9.0.30729.6161     Micros...
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247          14.51.36247        Micros...
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.51.36247               14.51.36247        Micros...
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247             14.51.36247        Micros...
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247          14.51.36247        Micros...
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.51.36247               14.51.36247        Micros...
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247             14.51.36247        Micros...
Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247            14.51.36247.0      Micros...
Microsoft Visual C++ v14 Redistributable (x86) - 14.51.36247            14.51.36247.0      Micros...
Microsoft Visual Studio Code (User)                                     1.136.1            Micros...
Microsoft Visual Studio Installer                                       4.8.60.55523       Micros...
Microsoft Visual Studio Setup Configuration                             4.8.41.48107       Micros...
Microsoft Visual Studio Setup WMI Provider                              4.8.41.48107       Micros...
Microsoft Visual Studio Tools for Applications 2022                     17.0.33529         Micros...
Microsoft Visual Studio Tools for Applications 2022 x64 Hosting Support 17.0.33529         Micros...
Microsoft Visual Studio Tools for Applications 2022 x86 Hosting Support 17.0.33529         Micros...
Microsoft Windows Application Compatibility Fix Database                                            
